,beam,class,cleaned_text,class_labels
2544,well about fourteenth time called did you call one regulated final expense insurance plan which covers a hundred open white or white and white white it white creamy expense why what is it jim i m eighty six i m not qualified to learn more about it no i won t you take me off your list,3,well about fourteenth time called did you call one regulated final expense insurance plan which covers a hundred open white or white and white white it white creamy expense why what is it jim i m eighty six i m not qualified to learn more about it no i won t you take me off your list,busy
2553,are you calling me already thank you,3,are you calling me already thank you,busy
2572,it now,3,it now,busy
2574,i wish you d stop calling me because i m not in this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is bad all need no dumbly i don t need none would you like to learn,3,i wish you d stop calling me because i m not in this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is bad all need no dumbly i don t need none would you like to learn,busy
2603,it no i m not interested in another set take care i don t no more both,3,it no i m not interested in another set take care i don t no more both,busy
2610,but you,3,but you,busy
2616,you funked it,3,you funked it,busy
2635,please do not copy factories about a new state regulated fire and arrange plan which covers a hundred percent burial by funeral formation ation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,3,please do not copy factories about a new state regulated fire and arrange plan which covers a hundred percent burial by funeral formation ation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,busy
2659,amy out my crack,3,amy out my crack,busy
2676,can i speak with some one,3,can i speak with some one,busy
2681,it ma am i have received this call from you that much in town and i ll tell you again i don t need appreciate your calling give it to somebody that needs it i don t thank you,3,it ma am i have received this call from you that much in town and i ll tell you again i don t need appreciate your calling give it to somebody that needs it i don t thank you,busy
2682,more about it but my cock poor witch,3,more about it but my cock poor witch,busy
2703,it go pluck yourself,3,it go pluck yourself,busy
2711,let your,3,let your,busy
2722,that will you please stop calling,3,that will you please stop calling,busy
2725,your dear i was this call is about a new state,3,your dear i was this call is about a new state,busy
2728,i have this clerk thorny today everybody,3,i have this clerk thorny today everybody,busy
2750,it don t give it me,3,it don t give it me,busy
2781,it no ma am you ll call me every day all day long but i ain t and i told you already have it than the sight,3,it no ma am you ll call me every day all day long but i ain t and i told you already have it than the sight,busy
2783,it could you put me on your do not call this place,3,it could you put me on your do not call this place,busy
2791,caller is the unknown unknown all unknown i don t know you,3,caller is the unknown unknown all unknown i don t know you,busy
2808,though i want you to take me out to it,3,though i want you to take me out to it,busy
2817,i wish you d quit calling me that s what i m goin to learn stop calling me,3,i wish you d quit calling me that s what i m goin to learn stop calling me,busy
2880,it i don t like you to hang on,3,it i don t like you to hang on,busy
2889,i don t find but this is the fourth call ye all made ttodayi think it s a little bit of rattling won t you call somebody,3,i don t find but this is the fourth call ye all made ttodayi think it s a little bit of rattling won t you call somebody,busy
2890,i m fine but put colin it calls on a new state regulated sina expense,3,i m fine but put colin it calls on a new state regulated sina expense,busy
2913,it are you then basket,3,it are you then basket,busy
2915,no i have life insurance thank you good bye don t call again,3,no i have life insurance thank you good bye don t call again,busy
2916,no care,3,no care,busy
2927,no it s likely to get,3,no it s likely to get,busy
2954,go by yourself,3,go by yourself,busy
2973,i don t see senior citizens care i don t care thickly quickly off to always have a new state regulated final expense insurance plan which covers a hundred percent of your burial are sure never and i go to see i m ready to go had taken care of would you like to learn more about it now i want you to take me off your list i quit call me,3,i don t see senior citizens care i don t care thickly quickly off to always have a new state regulated final expense insurance plan which covers a hundred percent of your burial are sure never and i go to see i m ready to go had taken care of would you like to learn more about it now i want you to take me off your list i quit call me,busy
2980,it sir,3,it sir,busy
2982,it i d like to speak to a representative,3,it i d like to speak to a representative,busy
2999,it not to do ma am i just got a call from some one with the same thing not even two minutes ago i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like you like to try it just for you i just got a call not even two minutes ago saying the same thing you see again,3,it not to do ma am i just got a call from some one with the same thing not even two minutes ago i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like you like to try it just for you i just got a call not even two minutes ago saying the same thing you see again,busy
3000,it and now because you re not going to rip me out good bye i completely understand that but these new and fordable plans have just been approved in your state,3,it and now because you re not going to rip me out good bye i completely understand that but these new and fordable plans have just been approved in your state,busy
3005,no thank you i m plain come i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specially can give you here everything i have everything already one thank you,3,no thank you i m plain come i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specially can give you here everything i have everything already one thank you,busy
3017,it you call me one more time you re going to need final expenses,3,it you call me one more time you re going to need final expenses,busy
3019,you re not really got a lesson as you re recording so i could say it s not worth a grip i would you d be great great,3,you re not really got a lesson as you re recording so i could say it s not worth a grip i would you d be great great,busy
3073,do not call back,3,do not call back,busy
3078,real i can t talk,3,real i can t talk,busy
3090,more about,3,more about,busy
3091,i m doing fine i am you re calling business please stop calling,3,i m doing fine i am you re calling business please stop calling,busy
3092,one fifty two please copy one on your naval final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no go and put me on your denials,3,one fifty two please copy one on your naval final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no go and put me on your denials,busy
3105,go fuck yourself amy,3,go fuck yourself amy,busy
3107,shut,3,shut,busy
3117,forget learn we aren t howling no jest quit cowling i,3,forget learn we aren t howling no jest quit cowling i,busy
3122,amy i don t want to talk to you any more elated final expense insurance plan which covers a hundred person of your funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no,3,amy i don t want to talk to you any more elated final expense insurance plan which covers a hundred person of your funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no,busy
3155,i m packin tired this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i don t want to hear about it i don t want to hear by none of that good bye you d like to learn more about it now,3,i m packin tired this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i don t want to hear about it i don t want to hear by none of that good bye you d like to learn more about it now,busy
3162,i ve told you put me on your dog hall list five times,3,i ve told you put me on your dog hall list five times,busy
3179,this was only the third or fourth call i ve had from you guys today this,3,this was only the third or fourth call i ve had from you guys today this,busy
3188,please thank maurice i m not a senior soon yet this,3,please thank maurice i m not a senior soon yet this,busy
3212,is a faint computer this,3,is a faint computer this,busy
3262,it maybe if i say yes i get off the callers,3,it maybe if i say yes i get off the callers,busy
3264,it no i hope they have called me a lot of time and i kept on all the time and they keep on calling me can you take me out out of the list,3,it no i hope they have called me a lot of time and i kept on all the time and they keep on calling me can you take me out out of the list,busy
3269,are so indian and eaten out tricks how are you,3,are so indian and eaten out tricks how are you,busy
3273,should he,3,should he,busy
3278,have you called us twenty times we all and now just come,3,have you called us twenty times we all and now just come,busy
3280,i want toknow call with,3,i want toknow call with,busy
3281,what can i do for you my mate specialist park car problems do ye i,3,what can i do for you my mate specialist park car problems do ye i,busy
3298,i m doing fine i ve ready talk to,3,i m doing fine i ve ready talk to,busy
3309,more about it if you both,3,more about it if you both,busy
3312,it it will help her,3,it it will help her,busy
3317,it i do not call this,3,it i do not call this,busy
3333,i m doing shaddy how are you,3,i m doing shaddy how are you,busy
3334,do not call,3,do not call,busy
3349,it but now and stop calling me please mother foker i,3,it but now and stop calling me please mother foker i,busy
3378,this,3,this,busy
3380,it no i would not i don t want you in cans and don t be callin me back,3,it no i would not i don t want you in cans and don t be callin me back,busy
3388,hello the number you ve reached just really don t give us yet have a nice day,3,hello the number you ve reached just really don t give us yet have a nice day,busy
3414,it i m not a rich,3,it i m not a rich,busy
3415,i ll be doin good amy if you and the rest of you retorted stammers quit callin great,3,i ll be doin good amy if you and the rest of you retorted stammers quit callin great,busy
3428,bye you call me about three times already good bye o great this call is about a new state state regulated final expense insurance plan which covers a hundred ppercentof your burial funeral or cremation expenses good bye would you like to learn more about it goll,3,bye you call me about three times already good bye o great this call is about a new state state regulated final expense insurance plan which covers a hundred ppercentof your burial funeral or cremation expenses good bye would you like to learn more about it goll,busy
3443,it why would i give up to it,3,it why would i give up to it,busy
3452,department of corrections this call is about a new state regulated final expense insurance plan which one hundred percent of your burial funeral or cremation expense it is would you like to learn more about it,3,department of corrections this call is about a new state regulated final expense insurance plan which one hundred percent of your burial funeral or cremation expense it is would you like to learn more about it,busy
3462,it no would you please take my name off your list i have not so i have enough burial already paid for thank you,3,it no would you please take my name off your list i have not so i have enough burial already paid for thank you,busy
3485,well same as it was last time you go,3,well same as it was last time you go,busy
3489,customer service this call is about a new state regular service and insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for and for the people on fixed income or social security would you like to learn more about it customer service,3,customer service this call is about a new state regular service and insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for and for the people on fixed income or social security would you like to learn more about it customer service,busy
3490,about it no was my number dunbeg i completely understand that but these new and fordable plans have just,3,about it no was my number dunbeg i completely understand that but these new and fordable plans have just,busy
3493,no and where do they stop calling me,3,no and where do they stop calling me,busy
3500,don t you go to find it,3,don t you go to find it,busy
3509,can i get a chick i need i need a check all i know is that we get but the final expense insurance plan with a hundred percent of your burial among a mission in expenses it is specifically dome of the pleasance would you like to learn more about it i did need a check that s all i need can you give me food to give me some fools then,3,can i get a chick i need i need a check all i know is that we get but the final expense insurance plan with a hundred percent of your burial among a mission in expenses it is specifically dome of the pleasance would you like to learn more about it i did need a check that s all i need can you give me food to give me some fools then,busy
3511,oh very well that you asked under the grate the,3,oh very well that you asked under the grate the,busy
3551,doin fine and you come every day so is about a new state regulated final expense insurance plan which covers a hundred percent of your real funeral or nation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,3,doin fine and you come every day so is about a new state regulated final expense insurance plan which covers a hundred percent of your real funeral or nation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,busy
3575,idiots,3,idiots,busy
3615,it take me off your calli,3,it take me off your calli,busy
3625,no amy i ve actually asked to be removed from the list but mediately under,3,no amy i ve actually asked to be removed from the list but mediately under,busy
3656,it no please take me out of your list,3,it no please take me out of your list,busy
3663,it please remove this number from your callis,3,it please remove this number from your callis,busy
3691,fine but you have repeated yourself quite often to,3,fine but you have repeated yourself quite often to,busy
3697,no i completely understood oh then would you like to learn more about it,3,no i completely understood oh then would you like to learn more about it,busy
3709,not a foot in senor,3,not a foot in senor,busy
3717,i d be a lot better if you wouldn t quit bucking calling me,3,i d be a lot better if you wouldn t quit bucking calling me,busy
3722,i want,3,i want,busy
3740,remotely from the list,3,remotely from the list,busy
3748,of me,3,of me,busy
3752,it please remove me from your carlist,3,it please remove me from your carlist,busy
3770,it no i don t always one arrangement to put on a cold completely understand that and that but these new fordable plans have just been approved i understand i know i know reason thought several people,3,it no i don t always one arrangement to put on a cold completely understand that and that but these new fordable plans have just been approved i understand i know i know reason thought several people,busy
3799,to mark off the list,3,to mark off the list,busy
3812,lost to get lost don t call any more i completely understand stand that but these new fordable plants have just been go away go away go,3,lost to get lost don t call any more i completely understand stand that but these new fordable plants have just been go away go away go,busy
3825,it aca how,3,it aca how,busy
3870,i am to thank you for acting but you now the third for the color the socialist listen i thank you so much as a kid you have a pleasant day good bye great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is spec is specifically designed for the people on a fixed income or social,3,i am to thank you for acting but you now the third for the color the socialist listen i thank you so much as a kid you have a pleasant day good bye great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is spec is specifically designed for the people on a fixed income or social,busy
3875,this call is about a new state regulated finally going on over a hundred percent of your burial funeral or cremation expenses into the legal any more come or social security,3,this call is about a new state regulated finally going on over a hundred percent of your burial funeral or cremation expenses into the legal any more come or social security,busy
3882,in fine do not all right then get out a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it sure,3,in fine do not all right then get out a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it sure,busy
3895,it all the funny talk to represent,3,it all the funny talk to represent,busy
3907,on me no more you ll be quarter and i don t want to don t you object messages,3,on me no more you ll be quarter and i don t want to don t you object messages,busy
3918,i think i ve had a call from you already ttodaythis,3,i think i ve had a call from you already ttodaythis,busy
3922,we had about four of these calls ttodayand i am getting sick of it i don t need that i got a doctor and i don t have to go to through anything else to this call is about a new state regulated final expense insurance plan which covers a hundred percent either burial at nero or heavy motion expenses it is specially designed for the people on a fixed income or social security i told you might learn more about it we have a good insurance plan with my husband to where he worked okay thank you,3,we had about four of these calls ttodayand i am getting sick of it i don t need that i got a doctor and i don t have to go to through anything else to this call is about a new state regulated final expense insurance plan which covers a hundred percent either burial at nero or heavy motion expenses it is specially designed for the people on a fixed income or social security i told you might learn more about it we have a good insurance plan with my husband to where he worked okay thank you,busy
3930,amy i m great don t fling call now about a new state regulated final expense insurance plan which and which covers a hundred percent of your buried,3,amy i m great don t fling call now about a new state regulated final expense insurance plan which and which covers a hundred percent of your buried,busy
3944,take off your list please this,3,take off your list please this,busy
3947,am told you to quit complimented crow you granddad or your man all about my own state regulated final expense insurance fund which covers a hundred percent of your burial funeral or cremation as it is the jump in the mouth above would,3,am told you to quit complimented crow you granddad or your man all about my own state regulated final expense insurance fund which covers a hundred percent of your burial funeral or cremation as it is the jump in the mouth above would,busy
3948,it now will you take my number off the collar list,3,it now will you take my number off the collar list,busy
3960,to see how you,3,to see how you,busy
3971,i m just teaching,3,i m just teaching,busy
3991,you can not this call is about a new state regulated fine game which covers a hundred percent of your diary now no amount or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it,3,you can not this call is about a new state regulated fine game which covers a hundred percent of your diary now no amount or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it,busy
3992,it no thank you good bye please take my name after life,3,it no thank you good bye please take my name after life,busy
3998,can you quit calling please,3,can you quit calling please,busy
4004,crape now that you called,3,crape now that you called,busy
4011,this is abandoned,3,this is abandoned,busy
4012,it beyond that remember you ve got to meet,3,it beyond that remember you ve got to meet,busy
4030,god you ve got nice,3,god you ve got nice,busy
4034,lady you called before please don t call again,3,lady you called before please don t call again,busy
4051,amy you ve got a bad memory don t you understand the doctor yesterday,3,amy you ve got a bad memory don t you understand the doctor yesterday,busy
4064,just on you go call,3,just on you go call,busy
4068,i have told you as a final expense any more worth a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,3,i have told you as a final expense any more worth a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,busy
4078,as a business this,3,as a business this,busy
4081,it no please take this number off your call list i have insurance,3,it no please take this number off your call list i have insurance,busy
4082,i do but why keep column this call,3,i do but why keep column this call,busy
4089,please take this number off your list,3,please take this number off your list,busy
4095,i m doing fine but i m tired of these phone calls,3,i m doing fine but i m tired of these phone calls,busy
4108,amy quit callin my downfall that s what i m doing that you keep keep a man of different numbers as i say,3,amy quit callin my downfall that s what i m doing that you keep keep a man of different numbers as i say,busy
4117,amy this is a recording you call me it regulated call me twenty times find you leave me alone it is specifically designed for the people on fixed income or social security would you like to learn,3,amy this is a recording you call me it regulated call me twenty times find you leave me alone it is specifically designed for the people on fixed income or social security would you like to learn,busy
4136,lady get out of here and don t fall back again do you hear me don t talk this out again,3,lady get out of here and don t fall back again do you hear me don t talk this out again,busy
4137,six miles,3,six miles,busy
4139,for you baby i read out to you at it this call is about a new state regulated final exam,3,for you baby i read out to you at it this call is about a new state regulated final exam,busy
4151,i m damn near perfect don how are you doing i m doing great eating,3,i m damn near perfect don how are you doing i m doing great eating,busy
4156,right now thank you please do not call me again i completely understand that but these new fordable plants have just been at rouen good by,3,right now thank you please do not call me again i completely understand that but these new fordable plants have just been at rouen good by,busy
4169,it no do you take me off the list i guess,3,it no do you take me off the list i guess,busy
4189,do you hear me like cooling this,3,do you hear me like cooling this,busy
4221,in military we come on a new state regulated final expense insurance land which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed income or social security would you like to learn more about it not really i,3,in military we come on a new state regulated final expense insurance land which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed income or social security would you like to learn more about it not really i,busy
4231,it no please take me on to it,3,it no please take me on to it,busy
4243,fine this,3,fine this,busy
4259,please stop calling,3,please stop calling,busy
4268,it now what does it matter if i have a big talk that i m playing with,3,it now what does it matter if i have a big talk that i m playing with,busy
4304,okay but i don t want any don t call back,3,okay but i don t want any don t call back,busy
4317,i m doin purty good this was let him come now what do ye i want,3,i m doin purty good this was let him come now what do ye i want,busy
4339,it no i don t need any now it s a year i moved my number that s fine for me,3,it no i don t need any now it s a year i moved my number that s fine for me,busy
4348,amy,3,amy,busy
4352,an american citizen club don t call me they write me a letter if i mean anything have a good day this,3,an american citizen club don t call me they write me a letter if i mean anything have a good day this,busy
4353,are you going,3,are you going,busy
4354,i don t feel too good you re going to have to call me back some other time,3,i don t feel too good you re going to have to call me back some other time,busy
4358,it no more here my name from your list thank you good by,3,it no more here my name from your list thank you good by,busy
4359,scamper,3,scamper,busy
4361,no war for dan how about you this,3,no war for dan how about you this,busy
4368,before you came i was fined not so great and all is about a new state regulated final expend all during a call it a hundred years long of your burial funeral or camion expenses it is specifically designed for for tokeep along o would you like to learn more about it now,3,before you came i was fined not so great and all is about a new state regulated final expend all during a call it a hundred years long of your burial funeral or camion expenses it is specifically designed for for tokeep along o would you like to learn more about it now,busy
4373,i m good,3,i m good,busy
4375,i m just fine please do not call me that me back,3,i m just fine please do not call me that me back,busy
4377,you re wasting my time,3,you re wasting my time,busy
4399,go cut yourself,3,go cut yourself,busy
4417,fine but i m not interested i ve already chosen but i unhappy we don t,3,fine but i m not interested i ve already chosen but i unhappy we don t,busy
4428,i do too this capital for the insurance plan which covers a hundred percent of your burial funeral or cremation are in survey would you like to learn more about it,3,i do too this capital for the insurance plan which covers a hundred percent of your burial funeral or cremation are in survey would you like to learn more about it,busy
4429,oh my birthday is ttodayi m eighty six years old i m doing very well i m alive live great,3,oh my birthday is ttodayi m eighty six years old i m doing very well i m alive live great,busy
4436,it can you stop on deck i completely understood,3,it can you stop on deck i completely understood,busy
4454,you please let me off your cornelis,3,you please let me off your cornelis,busy
4467,amy like balls welcome this call is about a new state regulated final event insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically designed for the people on fixed income or social security would you like to learn more about it scale,3,amy like balls welcome this call is about a new state regulated final event insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is specifically designed for the people on fixed income or social security would you like to learn more about it scale,busy
4478,this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral already dead it is specifically designed for signed for the people on fixed income or social security would you like to learn out yourself would you like to learn more about it back off,3,this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral already dead it is specifically designed for signed for the people on fixed income or social security would you like to learn out yourself would you like to learn more about it back off,busy
4480,more about it no hang up i completely understand that but these new fordable plans have just been approving late and everyone hello,3,more about it no hang up i completely understand that but these new fordable plans have just been approving late and everyone hello,busy
4490,i m sorry we don t take station thank you,3,i m sorry we don t take station thank you,busy
4499,them none then he ain t been yet and we take me take my name off your list preceding,3,them none then he ain t been yet and we take me take my name off your list preceding,busy
4509,i ve just finished talking to you and told you about it was not interested please don t keep hold of me time after time i,3,i ve just finished talking to you and told you about it was not interested please don t keep hold of me time after time i,busy
4519,i m doing fine and the last time i was called about that i m not eligible so please tell me all right thinks rating,3,i m doing fine and the last time i was called about that i m not eligible so please tell me all right thinks rating,busy
4539,take off,3,take off,busy
4550,amy i am twenty five to say you are lincoln,3,amy i am twenty five to say you are lincoln,busy
4555,it no because you called me about ten times a day why should i listen to ye,3,it no because you called me about ten times a day why should i listen to ye,busy
4568,it,3,it,busy
4595,it i,3,it i,busy
4629,it no i m not interested in it i m already taken care of all that as i say i said to you yesterday i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like i can t because i don t want to hear it so i can t do that cause i don t want to hear it,3,it no i m not interested in it i m already taken care of all that as i say i said to you yesterday i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you like i can t because i don t want to hear it so i can t do that cause i don t want to hear it,busy
4648,it no you called me three or four times and i said no i m all ready to have what i need thank you for coming back i completely understand that but the,3,it no you called me three or four times and i said no i m all ready to have what i need thank you for coming back i completely understand that but the,busy
4659,maybe i wish you d quit calling you called at this her last this,3,maybe i wish you d quit calling you called at this her last this,busy
4672,it no i have talked to two or three of you all ttodayalready i have all of that taken care of i,3,it no i have talked to two or three of you all ttodayalready i have all of that taken care of i,busy
4673,would you put yourself,3,would you put yourself,busy
4674,it you bear yourself fish,3,it you bear yourself fish,busy
4675,okay that s the sort of a time you ve called me today this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i desperately divined all i told you that i have already all those things i m all set up would you like to learn more about about no thank you i completely understood,3,okay that s the sort of a time you ve called me today this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i desperately divined all i told you that i have already all those things i m all set up would you like to learn more about about no thank you i completely understood,busy
4681,better if you aren t calling,3,better if you aren t calling,busy
4690,no i told you i had already got somethin for you to quit calling in which i see colin i completely understand them,3,no i told you i had already got somethin for you to quit calling in which i see colin i completely understand them,busy
4699,it no ma am take out my name from my number from your list,3,it no ma am take out my name from my number from your list,busy
4706,would mister kennedy take me off the list please,3,would mister kennedy take me off the list please,busy
4710,i have no expense when it comes to me by death i have everything in place that i need so take me off your list thank you,3,i have no expense when it comes to me by death i have everything in place that i need so take me off your list thank you,busy
4720,it i like to call,3,it i like to call,busy
4735,how big are you kids,3,how big are you kids,busy
4738,thick mouth for callers this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation of an alert it is would you like to learn more about it do not call me again,3,thick mouth for callers this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation of an alert it is would you like to learn more about it do not call me again,busy
4754,shut the forge give me forty red this crash out a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on on fixed income or social security would you like to learn more about it would you like to get me a representative,3,shut the forge give me forty red this crash out a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on on fixed income or social security would you like to learn more about it would you like to get me a representative,busy
4784,it i like the aquitaine,3,it i like the aquitaine,busy
4789,i will papa better,3,i will papa better,busy
4805,i don t want to talk to you guys i don t know why you keep calling,3,i don t want to talk to you guys i don t know why you keep calling,busy
4809,no ma am i don t want no more bout it i joins up with calumny i,3,no ma am i don t want no more bout it i joins up with calumny i,busy
4817,well yes you ve called me about three times i m just really not interested that appreciate you put me on your call list,3,well yes you ve called me about three times i m just really not interested that appreciate you put me on your call list,busy
4846,ma am i m sick and tired of calling their every little every little bit that s all i ve got i cam calls mamma i m just very sick and tired of all i wouldn t,3,ma am i m sick and tired of calling their every little every little bit that s all i ve got i cam calls mamma i m just very sick and tired of all i wouldn t,busy
4847,and i want to do it can help you,3,and i want to do it can help you,busy
4881,ma am don t call here to take my name off the miss i don t need no injure by,3,ma am don t call here to take my name off the miss i don t need no injure by,busy
4885,till copple,3,till copple,busy
4903,it no i tell you i m a millionaire what i know is that calling,3,it no i tell you i m a millionaire what i know is that calling,busy
4911,amy are you supposed to call a business missus miller construct construction this call is about a new state regulated or finally and insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed fixed income or social security voice hello miller construction would you like to learn more about lessons,3,amy are you supposed to call a business missus miller construct construction this call is about a new state regulated or finally and insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed fixed income or social security voice hello miller construction would you like to learn more about lessons,busy
4912,amy i m sick they all call me every every day but good bye this call is about a new state regulated final insurance insurance plan,3,amy i m sick they all call me every every day but good bye this call is about a new state regulated final insurance insurance plan,busy
4927,only i thought you about ten thousand thousand times,3,only i thought you about ten thousand thousand times,busy
4936,scots call coolly,3,scots call coolly,busy
4943,it at the couple of men you know i,3,it at the couple of men you know i,busy
4966,looking terrible,3,looking terrible,busy
4970,it no i d like you to not call me any more,3,it no i d like you to not call me any more,busy
5031,it i like the doctor,3,it i like the doctor,busy
5062,angel my god stop calling this number,3,angel my god stop calling this number,busy
5068,i m just fine i ll do better if you ll quit callin her nobody calls me please good bye grace,3,i m just fine i ll do better if you ll quit callin her nobody calls me please good bye grace,busy
5077,amy i m going for you but you called me three or four times last week and a week before that amy great began about a new state regulated final expense insurance plan which covers a hundred percent of your burial amy amy i ve already paid decease i pass passed away just as the speaker on my phone thank you oh,3,amy i m going for you but you called me three or four times last week and a week before that amy great began about a new state regulated final expense insurance plan which covers a hundred percent of your burial amy amy i ve already paid decease i pass passed away just as the speaker on my phone thank you oh,busy
5081,it oh no i d like you to take me off to cowes,3,it oh no i d like you to take me off to cowes,busy
5084,since i have talked to you many many times,3,since i have talked to you many many times,busy
5088,it ho,3,it ho,busy
5093,no do let make that you face bass,3,no do let make that you face bass,busy
5098,all same as i was about twenty minutes ago when you called,3,all same as i was about twenty minutes ago when you called,busy
5143,to my taste,3,to my taste,busy
5144,it take me off your list,3,it take me off your list,busy
5147,no i have asked you not to call me any more to night can i repeat that please don t call me again,3,no i have asked you not to call me any more to night can i repeat that please don t call me again,busy
5151,don t want to hear no more about it and i would talk with callers i don t had four calls back a baton but don t call me no more i can see then what,3,don t want to hear no more about it and i would talk with callers i don t had four calls back a baton but don t call me no more i can see then what,busy
5153,baboon baby baby,3,baboon baby baby,busy
5160,but,3,but,busy
5178,without davis i then put it in holland,3,without davis i then put it in holland,busy
5191,did you talk to last week in,3,did you talk to last week in,busy
5204,how many more times you don t call me,3,how many more times you don t call me,busy
5229,you keep calling me you ll think i m dan or somethin good an everybody keeps calling me i don t like any more sure that i have faint insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is i have life insurance for that my dear i do not need it please do not claim that please do nothing,3,you keep calling me you ll think i m dan or somethin good an everybody keeps calling me i don t like any more sure that i have faint insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is i have life insurance for that my dear i do not need it please do not claim that please do nothing,busy
5230,you called on me yesterday this,3,you called on me yesterday this,busy
5238,it representative,3,it representative,busy
5243,watch if you jump up an keep goin,3,watch if you jump up an keep goin,busy
5245,it i talked about a hundred people a day by the same into and did he tell you i don t call me by disenchant,3,it i talked about a hundred people a day by the same into and did he tell you i don t call me by disenchant,busy
5252,it no quicker i completely understand that but these new fordable plans have just been approved in your state and everyone qualified you are pope,3,it no quicker i completely understand that but these new fordable plans have just been approved in your state and everyone qualified you are pope,busy
5253,it i think it s really actually kind of disgusting that you re trying to take advantage of old people and get them to pay you money for this kind of thing it s as they really gross i d rather you didn t call me about it again,3,it i think it s really actually kind of disgusting that you re trying to take advantage of old people and get them to pay you money for this kind of thing it s as they really gross i d rather you didn t call me about it again,busy
5254,more about it already had the tinker take me up to calling this brief,3,more about it already had the tinker take me up to calling this brief,busy
5262,what ant is i m about you keep calling me,3,what ant is i m about you keep calling me,busy
5263,i love something good at a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you learn more about it now don t come calling me by calling me no more do not go if you please do not call no more,3,i love something good at a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you learn more about it now don t come calling me by calling me no more do not go if you please do not call no more,busy
5275,her about clinic years lost ttoda,3,her about clinic years lost ttoda,busy
5276,thank you this,3,thank you this,busy
5302,just leave me to suckle already,3,just leave me to suckle already,busy
5314,i m going to have to say you call girl he called out here from down grave things were asking this,3,i m going to have to say you call girl he called out here from down grave things were asking this,busy
