audio_tag,actual_english,class,cleaned_text,class_labels
6,i m doing okay so far,7,i m doing okay so far,greetings
6,oh alright,7,oh alright,greetings
10,what do you want  goodbye,10,what do you want  goodbye,other
5,this is michael from off stake insurance how can i help you,4,this is michael from off stake insurance how can i help you,dnc
6,well i thank u,7,well i thank u,greetings
6,doing very good,7,doing very good,greetings
4,mam i am sorry i can t talk,3,mam i am sorry i can t talk,busy
6,i m doing great,7,i m doing great,greetings
5,can you take me off with please,4,can you take me off with please,dnc
16,doing well thank you how are you,6,doing well thank you how are you,greetback
6,i m fine amy february 28th farther i m ninety four,7,i m fine amy february 28th farther i m ninety four,greetings
10,don t know,10,don t know,other
6,alright madam i am alright,7,alright madam i am alright,greetings
8,thank you very much i don t need thank you,9,thank you very much i don t need thank you,not_intrested
5,fuck u,4,fuck u,dnc
10,who is this,10,who is this,other
6,i m very well thank you what can i do for you,7,i m very well thank you what can i do for you,greetings
16,doing great amy how are you doing,6,doing great amy how are you doing,greetback
5,you know why you don t quit calling me  hang up ,4,you know why you don t quit calling me  hang up ,dnc
2,i m doing fine i don t need your help thank you,8,i m doing fine i don t need your help thank you,negative
10,amy do you wanna hear me say something,10,amy do you wanna hear me say something,other
10,getting older,10,getting older,other
6,hi amy hi amy,7,hi amy hi amy,greetings
6,i m fantastic,7,i m fantastic,greetings
6,fine so you called,7,fine so you called,greetings
16,pretty good and what s up,6,pretty good and what s up,greetback
6,i am good fine,7,i am good fine,greetings
6,i m alright,7,i m alright,greetings
6,doing just fine mam,7,doing just fine mam,greetings
6,i m doing well,7,i m doing well,greetings
15,not good ,12,not good ,sorry_greeting
5,fuck off,4,fuck off,dnc
15,i am dying and the old people saw me here how are you today ,12,i am dying and the old people saw me here how are you today ,sorry_greeting
5,hello whatever bitch whatever fucking scammers ,4,hello whatever bitch whatever fucking scammers ,dnc
6,doing okay what do you want,7,doing okay what do you want,greetings
8,i m fine mam i m not interested,9,i m fine mam i m not interested,not_intrested
2,i m fine but i dont need anymore citizen care ,8,i m fine but i dont need anymore citizen care ,negative
5,amy you have called us forty times we all said no so quit calling me,4,amy you have called us forty times we all said no so quit calling me,dnc
10,i m still here,10,i m still here,other
8,good no good i m okay but i don t need anything,9,good no good i m okay but i don t need anything,not_intrested
6,fine but why,7,fine but why,greetings
6,i m doing alright mam,7,i m doing alright mam,greetings
5,i m fucking fine,4,i m fucking fine,dnc
1,i say yes,11,i say yes,positive
6,i m great thank you,7,i m great thank you,greetings
6,doing just fine darling,7,doing just fine darling,greetings
16,oh i m doing great how are you,6,oh i m doing great how are you,greetback
6,okay thank you fine,7,okay thank you fine,greetings
6,well i m doing pretty good,7,well i m doing pretty good,greetings
8,okay fine but i don t need  your services,9,okay fine but i don t need  your services,not_intrested
6,hello amy doing just great,7,hello amy doing just great,greetings
6,hello  good,7,hello  good,greetings
6,good cause we have ots of seniors here,7,good cause we have ots of seniors here,greetings
15,terrible ,12,terrible ,sorry_greeting
4,i m doing pretty good i m i m right now on the call talking to someone,3,i m doing pretty good i m i m right now on the call talking to someone,busy
14,are you a real person,2,are you a real person,bot
5,i am not doing very good  you keep on calling me all the time ,4,i am not doing very good  you keep on calling me all the time ,dnc
6,doing well,7,doing well,greetings
6,hello,7,hello,greetings
10,i am eighty two years old,10,i am eighty two years old,other
4,okay okay i gotta get to mumbling,3,okay okay i gotta get to mumbling,busy
16,hey amy how are you,6,hey amy how are you,greetback
4,i m but i m trying to eat my supper right now,3,i m but i m trying to eat my supper right now,busy
10,who s this  who you wanna talk to ,10,who s this  who you wanna talk to ,other
16,fine whats up,6,fine whats up,greetback
15,not very good what do you want,12,not very good what do you want,sorry_greeting
16,i m doing fine and you,6,i m doing fine and you,greetback
4,i am doing fine but honey i m busy ,3,i am doing fine but honey i m busy ,busy
10,not despite not in list,10,not despite not in list,other
16,i m doing fine whats up,6,i m doing fine whats up,greetback
6,amy i m fine what s going on,7,amy i m fine what s going on,greetings
10,amy do i recognise your existence,10,amy do i recognise your existence,other
16,oh good how are you ,6,oh good how are you ,greetback
8,i m fine and i m not interested goodbye,9,i m fine and i m not interested goodbye,not_intrested
10,what do you want,10,what do you want,other
15,not good,12,not good,sorry_greeting
6,i m fine thank you today,7,i m fine thank you today,greetings
15,i m not well may i help you ,12,i m not well may i help you ,sorry_greeting
5,not too well do you know you re talking to somebody in nursing home a hundred years old,4,not too well do you know you re talking to somebody in nursing home a hundred years old,dnc
16,doing fine mam how about you,6,doing fine mam how about you,greetback
6,i m okay,7,i m okay,greetings
6,doing good yet,7,doing good yet,greetings
10,is your number 52 they sold today,10,is your number 52 they sold today,other
10,who you tryna call,10,who you tryna call,other
5,i m doing fine and the last time i recalled is that i m not eligible,4,i m doing fine and the last time i recalled is that i m not eligible,dnc
6,alright but you call what you want,7,alright but you call what you want,greetings
16,oh i couldnt be better amy how are you,6,oh i couldnt be better amy how are you,greetback
5,don t call anymore take my number off your list,4,don t call anymore take my number off your list,dnc
6,i m okay ,7,i m okay ,greetings
16,i m very well you tell me,6,i m very well you tell me,greetback
16,doing fine how are you,6,doing fine how are you,greetback
4,i m doing just fine kinda busy right now,3,i m doing just fine kinda busy right now,busy
8,i don t think i m interested,9,i don t think i m interested,not_intrested
15,not good calling from nursing home,12,not good calling from nursing home,sorry_greeting
10,que pasa mumbling no thankyou no i m thirty five ,10,que pasa mumbling no thankyou no i m thirty five ,other
6,just fine what can i do for you,7,just fine what can i do for you,greetings
16,doing well princess how are you,6,doing well princess how are you,greetback
15,i feel like i m about to die,12,i feel like i m about to die,sorry_greeting
5,better if you weren t calling,4,better if you weren t calling,dnc
6,well i feel okay,7,well i feel okay,greetings
4,leave ur number i will call u back,3,leave ur number i will call u back,busy
1,yeah,11,yeah,positive
1,yes but it is you want me to do mumble you can send me a mial,11,yes but it is you want me to do mumble you can send me a mial,positive
6,i m great,7,i m great,greetings
16,amy amy amy how are you,6,amy amy amy how are you,greetback
16,i m well thank you how are you,6,i m well thank you how are you,greetback
10,oh i always consult with my wife,10,oh i always consult with my wife,other
16,just great how about you,6,just great how about you,greetback
5,i m doing shitty how are you doing,4,i m doing shitty how are you doing,dnc
5,please stop calling,4,please stop calling,dnc
4,alright amy a lil  busy right now its the supper time what s up ,3,alright amy a lil  busy right now its the supper time what s up ,busy
10,what y all do,10,what y all do,other
10,hi,10,hi,other
6,i m well,7,i m well,greetings
6,very well probably,7,very well probably,greetings
1,i am,11,i am,positive
16,i m doing fine how about yourself,6,i m doing fine how about yourself,greetback
6,okay  thanks,7,okay  thanks,greetings
16,i m just fine how are you doing,6,i m just fine how are you doing,greetback
6,okay you from where,7,okay you from where,greetings
6,i am fine,7,i am fine,greetings
10,uh why not,10,uh why not,other
10,i am sorry mam i don t know what you are speaking,10,i am sorry mam i don t know what you are speaking,other
4,well i was asleep,3,well i was asleep,busy
14,are you a robot ,2,are you a robot ,bot
5,i was same as yesterday when you called,4,i was same as yesterday when you called,dnc
10,mumbling,10,mumbling,other
6,hello i m doing fine thankyou oh my god thankyou no ,7,hello i m doing fine thankyou oh my god thankyou no ,greetings
6,i guess okay,7,i guess okay,greetings
5,umm this mam this is a business,4,umm this mam this is a business,dnc
6,well  pretty good,7,well  pretty good,greetings
8,i m not doing good just i m not interested,9,i m not doing good just i m not interested,not_intrested
6,hello hello i m okay ,7,hello hello i m okay ,greetings
16,can i help you i m okay amy how are you no amy but thankyou,6,can i help you i m okay amy how are you no amy but thankyou,greetback
6,i m doing alright you know thank you,7,i m doing alright you know thank you,greetings
16,i m well how are you,6,i m well how are you,greetback
15,i m sorry who is this,12,i m sorry who is this,sorry_greeting
16,i m doing fine you tell,6,i m doing fine you tell,greetback
6,terrific,7,terrific,greetings
4,okay watching tv you re bothering me i m looking at my games,3,okay watching tv you re bothering me i m looking at my games,busy
16,i m fine and you ,6,i m fine and you ,greetback
6,i am doing the best i can dear,7,i am doing the best i can dear,greetings
6,ah fine thank you and where do you from who do you from,7,ah fine thank you and where do you from who do you from,greetings
15,not so good,12,not so good,sorry_greeting
16,i m doing fine thank you how are you,6,i m doing fine thank you how are you,greetback
5,amy you called me hundred times i m not a senior citizen,4,amy you called me hundred times i m not a senior citizen,dnc
5,i m doing wonderfull thanks for calling i m just jacking off right now,4,i m doing wonderfull thanks for calling i m just jacking off right now,dnc
15,i m not doing too good what can i help you with,12,i m not doing too good what can i help you with,sorry_greeting
15,amy no okay no thank you have a good day,12,amy no okay no thank you have a good day,sorry_greeting
10,you from where,10,you from where,other
10,what would you like amy,10,what would you like amy,other
9,fine mam i m not speaking inglis,13,fine mam i m not speaking inglis,spanish
10,okay are you calling about insurance,10,okay are you calling about insurance,other
15,mad,12,mad,sorry_greeting
6,i am doing well,7,i am doing well,greetings
10,hiring new,10,hiring new,other
5,i m fine i already talked to you once today,4,i m fine i already talked to you once today,dnc
10,beep,10,beep,other
16,fine you,6,fine you,greetback
16,fine you,6,fine you,greetback
5,amy you re so hot,4,amy you re so hot,dnc
6,okay i m eating,7,okay i m eating,greetings
16,yes how are u,6,yes how are u,greetback
2,well you re selling some senior citizen care i dont need it but i m okay how about you,8,well you re selling some senior citizen care i dont need it but i m okay how about you,negative
5,not well would you please stop callig,4,not well would you please stop callig,dnc
6,well ammy what do you want from me,7,well ammy what do you want from me,greetings
5,u fucking bitch ,4,u fucking bitch ,dnc
5,fucking terrible,4,fucking terrible,dnc
1,do i made my own financial decisions yes i do,11,do i made my own financial decisions yes i do,positive
13,hello if you re  talking to me about insurance forget it  i have got all the insurance i can jam down my throat thankyou goodnight  ,0,hello if you re  talking to me about insurance forget it  i have got all the insurance i can jam down my throat thankyou goodnight  ,already_insured
15,just absolutely horrible,12,just absolutely horrible,sorry_greeting
1,yeah right,11,yeah right,positive
16,i m doing alright how are you,6,i m doing alright how are you,greetback
6,uhh pretty good,7,uhh pretty good,greetings
6,i am okay for an old man,7,i am okay for an old man,greetings
10,i m dead,10,i m dead,other
8,not interested thank you goodbye,9,not interested thank you goodbye,not_intrested
16,i m doing good what about you,6,i m doing good what about you,greetback
6,i m doing just fine,7,i m doing just fine,greetings
6,oh i m okay,7,oh i m okay,greetings
15,well feeling alone,12,well feeling alone,sorry_greeting
16,i m fine how are you mam,6,i m fine how are you mam,greetback
6,good good amy who you calling,7,good good amy who you calling,greetings
10,what department are you all talking,10,what department are you all talking,other
10,is this amy,10,is this amy,other
16,mam good how are you,6,mam good how are you,greetback
10,yeah what can i help you with ,10,yeah what can i help you with ,other
10,i am twenty two years old amy,10,i am twenty two years old amy,other
14,are you bot  you call me like a whole day,2,are you bot  you call me like a whole day,bot
5,doing okay i am trying to take my damn nap but you motherfucker call on the,4,doing okay i am trying to take my damn nap but you motherfucker call on the,dnc
15,not so good mam i stayed at the hospital and not feeling like talking today thank you,12,not so good mam i stayed at the hospital and not feeling like talking today thank you,sorry_greeting
16,i am fine and you,6,i am fine and you,greetback
15,well she s not well mumbling,12,well she s not well mumbling,sorry_greeting
6,i m fine you are who,7,i m fine you are who,greetings
16,fine how about you how are you doing that s more important,6,fine how about you how are you doing that s more important,greetback
16,i am doing okay how are you,6,i am doing okay how are you,greetback
2,i m not a senior citizen mam,8,i m not a senior citizen mam,negative
8,we don t need anything at all thank you very much,9,we don t need anything at all thank you very much,not_intrested
6,i am just fine thank you,7,i am just fine thank you,greetings
6,i m fine thanks ,7,i m fine thanks ,greetings
5,get lost get lost get lost get lost,4,get lost get lost get lost get lost,dnc
1,yeah yeah,11,yeah yeah,positive
10,hello hello,10,hello hello,other
6,i m dong fine,7,i m dong fine,greetings
5,i know well the fourty times you called you call overtime ,4,i know well the fourty times you called you call overtime ,dnc
10,why have a sugar daddy,10,why have a sugar daddy,other
14,is this a recording,2,is this a recording,bot
6,i am doing fine   hello,7,i am doing fine   hello,greetings
10,ah twelve i guess i am,10,ah twelve i guess i am,other
5,i m damn too old for it,4,i m damn too old for it,dnc
6,good why do you worrying,7,good why do you worrying,greetings
6,i m doing fine okay,7,i m doing fine okay,greetings
4,i m busy right now,3,i m busy right now,busy
16,i m okay how about you,6,i m okay how about you,greetback
6,oh alright amy,7,oh alright amy,greetings
6,i am doing great,7,i am doing great,greetings
5,if you don t rest your retarded scammers quit calling,4,if you don t rest your retarded scammers quit calling,dnc
1,american senior citizen care yes,11,american senior citizen care yes,positive
10,hmm,10,hmm,other
10,paradise,10,paradise,other
6,just fine i told you same thing yesterday goodbye,7,just fine i told you same thing yesterday goodbye,greetings
5,told you yesterday how i was feeling let me tell you i told you yesterday that i m not a senior citizen,4,told you yesterday how i was feeling let me tell you i told you yesterday that i m not a senior citizen,dnc
3,answering  machine,1,answering  machine,answering_machine
2,i don t know,8,i don t know,negative
10,i can t understand you talk up,10,i can t understand you talk up,other
16,i m doing good and you,6,i m doing good and you,greetback
15,not good how are you doing,12,not good how are you doing,sorry_greeting
6,okay i m fine,7,okay i m fine,greetings
10,why are you calling ,10,why are you calling ,other
5,motherfucker,4,motherfucker,dnc
5,i m great can you take me off your do not call list please,4,i m great can you take me off your do not call list please,dnc
10, 15 minutes ago when u guy call me,10, 15 minutes ago when u guy call me,other
6,oh i m all doing just great,7,oh i m all doing just great,greetings
6,i m great great i m doing really great ,7,i m great great i m doing really great ,greetings
16,great how about you,6,great how about you,greetback
4,i m doing just fine but i have no time to talk,3,i m doing just fine but i have no time to talk,busy
5,i am sorry we don t take phone falicitation phone calls but,4,i am sorry we don t take phone falicitation phone calls but,dnc
6,i m alright mam,7,i m alright mam,greetings
6,not bad not bad,7,not bad not bad,greetings
6,i m  doing okay,7,i m  doing okay,greetings
10,what do you need what are you talking about,10,what do you need what are you talking about,other
16,i am fine how are you,6,i am fine how are you,greetback
10,hah,10,hah,other
6,i m doing alright i m not a senior citizen yet,7,i m doing alright i m not a senior citizen yet,greetings
16,i m doing okay how you doing,6,i m doing okay how you doing,greetback
8,hello hi well i m doing pretty good mumbling right now not really i said i said i m not interested i said i m not interested ,9,hello hi well i m doing pretty good mumbling right now not really i said i said i m not interested i said i m not interested ,not_intrested
10,i m not,10,i m not,other
10,bored,10,bored,other
6,hello fine yes yes no ,7,hello fine yes yes no ,greetings
5,i don t feel good you don t have to call me back,4,i don t feel good you don t have to call me back,dnc
8,hello i m not interested i m not interested thankyou ,9,hello i m not interested i m not interested thankyou ,not_intrested
6,doing alright i guess,7,doing alright i guess,greetings
6,pretty good i broke my heal,7,pretty good i broke my heal,greetings
10, how much do you pay month for telephone number,10, how much do you pay month for telephone number,other
8,i dont need anything,9,i dont need anything,not_intrested
6,i m doing good thank you,7,i m doing good thank you,greetings
6,no too bad not too bad at all ,7,no too bad not too bad at all ,greetings
6,alright abby,7,alright abby,greetings
1,i hope so i live by myself,11,i hope so i live by myself,positive
6,i m just am doing really goood amy i just finished jack the owl,7,i m just am doing really goood amy i just finished jack the owl,greetings
10,are you capable,10,are you capable,other
4,i m fine in a middle of dinner,3,i m fine in a middle of dinner,busy
10,what you want ma am,10,what you want ma am,other
6,just fine,7,just fine,greetings
10,hello bye ,10,hello bye ,other
6,okay hello hello,7,okay hello hello,greetings
16,well you,6,well you,greetback
6,okay what can i do for you,7,okay what can i do for you,greetings
6,oh good amy,7,oh good amy,greetings
6,i m fine goodbye,7,i m fine goodbye,greetings
6,alright ,7,alright ,greetings
5,i m fine but you have repeated yourself quite often to me ,4,i m fine but you have repeated yourself quite often to me ,dnc
10,well do you make your own decision,10,well do you make your own decision,other
10,can yoiu say that again,10,can yoiu say that again,other
10,maybe i can hear you now,10,maybe i can hear you now,other
1,sometimes,11,sometimes,positive
1,oh yeah,11,oh yeah,positive
10,who are you what you want ,10,who are you what you want ,other
8,okay fine but i dont need your service thank you bye,9,okay fine but i dont need your service thank you bye,not_intrested
2,i want nothing,8,i want nothing,negative
16,oh i m doing pretty good banglore how you,6,oh i m doing pretty good banglore how you,greetback
5,hi uh get off my phone no i don t wanna talk to you you have dialed this about a dozen times turn it off ,4,hi uh get off my phone no i don t wanna talk to you you have dialed this about a dozen times turn it off ,dnc
6,i m fine ,7,i m fine ,greetings
2,okay dont need anything,8,okay dont need anything,negative
6,uh i m good,7,uh i m good,greetings
4,i m doing okay but i m busy right at the moment i won t be able to listen to you you,3,i m doing okay but i m busy right at the moment i won t be able to listen to you you,busy
15,hi terrible ,12,hi terrible ,sorry_greeting
10,mam,10,mam,other
10,please your mumbling how can i help you ,10,please your mumbling how can i help you ,other
10,are you live or re recorded,10,are you live or re recorded,other
10,why,10,why,other
14,can i speak to a live person,2,can i speak to a live person,bot
6,okay what now,7,okay what now,greetings
14,can i speak to real person,2,can i speak to real person,bot
10,what do you want amy,10,what do you want amy,other
6,uh good,7,uh good,greetings
10,what it is all about,10,what it is all about,other
15,i am not i am sick what can i help you with today ,12,i am not i am sick what can i help you with today ,sorry_greeting
14,are you your robot,2,are you your robot,bot
6,stupendous,7,stupendous,greetings
8,i do not need any of your product thank you for calling ,9,i do not need any of your product thank you for calling ,not_intrested
4,very busy,3,very busy,busy
16,i m doing pretty good how are you,6,i m doing pretty good how are you,greetback
16,fine  how are you,6,fine  how are you,greetback
16,i am doing good you,6,i am doing good you,greetback
6,doing fine mam,7,doing fine mam,greetings
15,not very good i think i m gonna have heart attack,12,not very good i think i m gonna have heart attack,sorry_greeting
4,i was on my way to bed what can i do for you,3,i was on my way to bed what can i do for you,busy
6,i am doing alright,7,i am doing alright,greetings
15,not well thank you,12,not well thank you,sorry_greeting
6,just fiine,7,just fiine,greetings
10,okay this is another,10,okay this is another,other
15,not very well people keep calling me on the phone,12,not very well people keep calling me on the phone,sorry_greeting
10,hello ,10,hello ,other
14,hi amy with amrican senior citize care are you a robot ,2,hi amy with amrican senior citize care are you a robot ,bot
16,i m doing fine how about you,6,i m doing fine how about you,greetback
15,tired,12,tired,sorry_greeting
6,i am fine okay,7,i am fine okay,greetings
6,doing good,7,doing good,greetings
6,well,7,well,greetings
6,okay i m okay ,7,okay i m okay ,greetings
10,i m above real mam,10,i m above real mam,other
10,you got a senior citizenship,10,you got a senior citizenship,other
16,hmm i m doing good how about you,6,hmm i m doing good how about you,greetback
5,i have told you to not call here anymore,4,i have told you to not call here anymore,dnc
16,i am good mam you,6,i am good mam you,greetback
15,lousy,12,lousy,sorry_greeting
9,spanish  yes hello,13,spanish  yes hello,spanish
5,you re not really gonna listen because you re a recording so i could say its not worth of crap at all you d be go great,4,you re not really gonna listen because you re a recording so i could say its not worth of crap at all you d be go great,dnc
5,it is michael with the all state insurance can i help you,4,it is michael with the all state insurance can i help you,dnc
6,good  yes can i help you,7,good  yes can i help you,greetings
10,i m a hundred and fourty four,10,i m a hundred and fourty four,other
6,i m doing fine very well,7,i m doing fine very well,greetings
6,oh i m okay thank you,7,oh i m okay thank you,greetings
13,hello hello i m pretty good mumbling i have all that taken care of no ma am i have all that taken care of i m ninety four years old i was getting got ready to go  ,0,hello hello i m pretty good mumbling i have all that taken care of no ma am i have all that taken care of i m ninety four years old i was getting got ready to go  ,already_insured
10,who are you trying to reach ,10,who are you trying to reach ,other
6,good until you woke me up,7,good until you woke me up,greetings
6,oh doing pretty good pretty good,7,oh doing pretty good pretty good,greetings
6,i m doing excellent whoever you are doing fine what you got what you re up too,7,i m doing excellent whoever you are doing fine what you got what you re up too,greetings
5,please take me off your list,4,please take me off your list,dnc
1,hello hello hello good you yes yes okay ,11,hello hello hello good you yes yes okay ,positive
10,oh amy you sound beautiful,10,oh amy you sound beautiful,other
5,not good at all amy i m really feeling bad and down because i m receiving all these robo calls it kind of like interrupting my sleep and i m an old man and i really just can t handle the pressure amy so you know you could stop calling me,4,not good at all amy i m really feeling bad and down because i m receiving all these robo calls it kind of like interrupting my sleep and i m an old man and i really just can t handle the pressure amy so you know you could stop calling me,dnc
5,hello i don t want this call anymore put me on your no call line,4,hello i don t want this call anymore put me on your no call line,dnc
4,okay mam i m fit you know i m in restroom don t you ,3,okay mam i m fit you know i m in restroom don t you ,busy
6,i m good i gotta change,7,i m good i gotta change,greetings
10,hi amy hi amy,10,hi amy hi amy,other
5,i m on a no call list,4,i m on a no call list,dnc
5,how many more times you gonna call me today,4,how many more times you gonna call me today,dnc
6,i m dragging a little bit up from the cold but otherwise i m okay how can i help you,7,i m dragging a little bit up from the cold but otherwise i m okay how can i help you,greetings
5,can you take me off this list please,4,can you take me off this list please,dnc
6,i m fine thanks,7,i m fine thanks,greetings
5,fuck you ,4,fuck you ,dnc
4,save you name and number so i can call you back as soon i can,3,save you name and number so i can call you back as soon i can,busy
16,i m doing alright how are you doing,6,i m doing alright how are you doing,greetback
4,i don t have time i m sorry,3,i don t have time i m sorry,busy
6,i m good just fine,7,i m good just fine,greetings
10,good,10,good,other
5,stop calling here,4,stop calling here,dnc
6,i m doing okay amy i could be better but you know life s going,7,i m doing okay amy i could be better but you know life s going,greetings
10,amy,10,amy,other
6,just fine just fine,7,just fine just fine,greetings
14,i d like to speak to real human please,2,i d like to speak to real human please,bot
6,i m alright with worth,7,i m alright with worth,greetings
10,i gotta pick a poop,10,i gotta pick a poop,other
6,oh well good yes,7,oh well good yes,greetings
15,i m not good mam mumbling,12,i m not good mam mumbling,sorry_greeting
14,amy are you real person,2,amy are you real person,bot
8,you know i don t want to talk to you,9,you know i don t want to talk to you,not_intrested
1,hello okay okay yeah ,11,hello okay okay yeah ,positive
10,i am okay what,10,i am okay what,other
6,i am doing fine,7,i am doing fine,greetings
6,fine what do you want,7,fine what do you want,greetings
10,another scam,10,another scam,other
6,i am okay,7,i am okay,greetings
6,i m still alive so that s a blessing i suppose,7,i m still alive so that s a blessing i suppose,greetings
6,doing very well thank you,7,doing very well thank you,greetings
5,i dont need you re calling me over past 6 ,4,i dont need you re calling me over past 6 ,dnc
5,please quit calling,4,please quit calling,dnc
15,i m not well may i help you,12,i m not well may i help you,sorry_greeting
10,haan what you saying,10,haan what you saying,other
8,i m doing alright but i m not buyig what you re selling,9,i m doing alright but i m not buyig what you re selling,not_intrested
6,okay alright,7,okay alright,greetings
6,i m  doing alright,7,i m  doing alright,greetings
16,i m doing okay thank you how are you doing,6,i m doing okay thank you how are you doing,greetback
16,good how r u,6,good how r u,greetback
4,i m at work,3,i m at work,busy
6,ah actually great,7,ah actually great,greetings
8,oh we re not interested,9,oh we re not interested,not_intrested
6,fine for a ninety five year old lady,7,fine for a ninety five year old lady,greetings
4,amy i can t talk to you but if you could go back i would right now i m i m busy talking with someone else,3,amy i can t talk to you but if you could go back i would right now i m i m busy talking with someone else,busy
10,can you hear me,10,can you hear me,other
6,just fine thanks,7,just fine thanks,greetings
5,hurry up dont be calling me,4,hurry up dont be calling me,dnc
15,not great,12,not great,sorry_greeting
16,i m doing pretty good girl how you doing,6,i m doing pretty good girl how you doing,greetback
16,alright are  you,6,alright are  you,greetback
6,great,7,great,greetings
10,say it again,10,say it again,other
10,who you looking forward ,10,who you looking forward ,other
5,well i was doing okay until i got your called  i tryna get chowder  stop calling ,4,well i was doing okay until i got your called  i tryna get chowder  stop calling ,dnc
16,i am okay how are you,6,i am okay how are you,greetback
6,just fine thank you so much,7,just fine thank you so much,greetings
10,i was doing okay until i got your call ,10,i was doing okay until i got your call ,other
6,amy i am fine,7,amy i am fine,greetings
16,great and how about you,6,great and how about you,greetback
5,doing like hell thank you,4,doing like hell thank you,dnc
6,i am fine thank u,7,i am fine thank u,greetings
6,i am doing pretty good ,7,i am doing pretty good ,greetings
6,fine thankyou,7,fine thankyou,greetings
6,oh just fine,7,oh just fine,greetings
5,i m fine mam you re calling a business please stop calling,4,i m fine mam you re calling a business please stop calling,dnc
16,wonderful amy of american senior citizen how are you,6,wonderful amy of american senior citizen how are you,greetback
6,uh pretty good,7,uh pretty good,greetings
6,i m fine how do you get this number,7,i m fine how do you get this number,greetings
15,i m sorry i could hardly talk,12,i m sorry i could hardly talk,sorry_greeting
15,well my dad just died,12,well my dad just died,sorry_greeting
5,oh after you idiot skull,4,oh after you idiot skull,dnc
15,i m sick mam,12,i m sick mam,sorry_greeting
6,well okay but what do you want,7,well okay but what do you want,greetings
5,can i get a chick i need a chick,4,can i get a chick i need a chick,dnc
6,alright miss amy i m alright,7,alright miss amy i m alright,greetings
15,hi not good mumbling ham today ,12,hi not good mumbling ham today ,sorry_greeting
6,good how are you,7,good how are you,greetings
5,i be doing good amy if you don t rest your retarded scammers quit calling,4,i be doing good amy if you don t rest your retarded scammers quit calling,dnc
10,mumbling finish ,10,mumbling finish ,other
4,but you can call later,3,but you can call later,busy
5,can you please stop calling me stop calling me stop stop stop stop,4,can you please stop calling me stop calling me stop stop stop stop,dnc
5,just fuck off and take me off the list,4,just fuck off and take me off the list,dnc
1,are you still there yeah okay yeah,11,are you still there yeah okay yeah,positive
15,not very good ,12,not very good ,sorry_greeting
14,are you a machine or humanbeing,2,are you a machine or humanbeing,bot
1,i said right now we yes,11,i said right now we yes,positive
16,i m good and you,6,i m good and you,greetback
16,ah so far so good and you,6,ah so far so good and you,greetback
10,i think i can hear you can you hear me,10,i think i can hear you can you hear me,other
5,remove me from this call list,4,remove me from this call list,dnc
6,good very good thank you,7,good very good thank you,greetings
10,who would you like to speak to ,10,who would you like to speak to ,other
16,fine and yourself,6,fine and yourself,greetback
10,who do you want to speak to,10,who do you want to speak to,other
6,well i m doing fine till you called,7,well i m doing fine till you called,greetings
16,doing fine how about you,6,doing fine how about you,greetback
6,i am doing fine what can we do for you,7,i am doing fine what can we do for you,greetings
16,i m pretty good  hope you are,6,i m pretty good  hope you are,greetback
8,we re not interested,9,we re not interested,not_intrested
16,doing okay how about yourself,6,doing okay how about yourself,greetback
6,fine thank you,7,fine thank you,greetings
16,alright and how you doing,6,alright and how you doing,greetback
6,hello who are you amy,7,hello who are you amy,greetings
1,yes i would yes okay ,11,yes i would yes okay ,positive
6,good what do you need amy,7,good what do you need amy,greetings
10,what can i help you with,10,what can i help you with,other
2,i m doing fine goodbye,8,i m doing fine goodbye,negative
6,now better,7,now better,greetings
8,well that my daughter is doing it so,9,well that my daughter is doing it so,not_intrested
6,well i m doing okay,7,well i m doing okay,greetings
8,i am good don t need any senior care thanks bye,9,i am good don t need any senior care thanks bye,not_intrested
6,i m pretty fine,7,i m pretty fine,greetings
6,alright i mean i am okay,7,alright i mean i am okay,greetings
16,pretty good and you,6,pretty good and you,greetback
2,well i don t know okay,8,well i don t know okay,negative
3,you ve reached the operating room,1,you ve reached the operating room,answering_machine
6,i m fantastic amy  i m going become at my senior citizen care   ,7,i m fantastic amy  i m going become at my senior citizen care   ,greetings
6,hello oh okay i made it to another day nope thankyou for calling ,7,hello oh okay i made it to another day nope thankyou for calling ,greetings
1,of course,11,of course,positive
5,hey you called twice today hang it up bye,4,hey you called twice today hang it up bye,dnc
15,i m not very good,12,i m not very good,sorry_greeting
7,good and i m too old for what you re selling so i m wasting your time bye bye,5,good and i m too old for what you re selling so i m wasting your time bye bye,dnq
5,you call here before and yesterday too thank you,4,you call here before and yesterday too thank you,dnc
10,how can i help you,10,how can i help you,other
16,i am doing okay and you,6,i am doing okay and you,greetback
6,i m doing real fine,7,i m doing real fine,greetings
10,there,10,there,other
16,great how are you,6,great how are you,greetback
6,i m good i m not a senior citizen i m fifty,7,i m good i m not a senior citizen i m fifty,greetings
16,how good are you,6,how good are you,greetback
4,don t i have time right now ,3,don t i have time right now ,busy
5,hello please stop calling,4,hello please stop calling,dnc
10,i m not so hot,10,i m not so hot,other
6,fine fine,7,fine fine,greetings
8,i m doing okay but i m not interested in anything i m late of that,9,i m doing okay but i m not interested in anything i m late of that,not_intrested
16,i m doing great how are you doing,6,i m doing great how are you doing,greetback
6,i m doing goood,7,i m doing goood,greetings
10,young,10,young,other
15,not well not well mam what do you want,12,not well not well mam what do you want,sorry_greeting
15,not okay,12,not okay,sorry_greeting
16,feeling good how are you,6,feeling good how are you,greetback
